threshold,AUC,AP,F1,P,R,Acc
0.5,0.9566417595878676,0.811188950644224,0.2078594165937564,0.116752755180995,0.946271186440678,0.9344825409436005
0.7,0.9566417595878676,0.811188950644224,0.36787153902068326,0.2284741032586391,0.9435593220338983,0.9705430868172154
0.9,0.9566417595878676,0.811188950644224,0.5590301990023065,0.4089303931570274,0.8832203389830509,0.9873423958145686
0.9048,0.9566417595878676,0.811188950644224,0.5607152533188837,0.4121067303863003,0.8769491525423729,0.98751791787723
0.932,0.9566417595878676,0.811188950644224,0.6041844057900498,0.47116296717890344,0.841864406779661,0.9899798457561383
0.9491,0.9566417595878676,0.811188950644224,0.6795052010120889,0.5804514889529299,0.819322033898305,0.992979117493545
0.95,0.9566417595878676,0.811188950644224,0.6836466832210003,0.5879194630872483,0.8166101694915254,0.993134623882394
0.97,0.9566417595878676,0.811188950644224,0.8007836851010776,0.8436854944642522,0.7620338983050847,0.9965557644370746
0.99,0.9566417595878676,0.811188950644224,0.0,0.0,0.0,0.9909159634236656
